date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:27	1824/1824	---M--	200	added ('OK')	image/png	etag:%22720-5d207b244a340%22	https://newdetox.com.br/wp-content/uploads/2021/11/diners.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/diners.png	(from https://newdetox.com.br/)
12:50:27	1846/1846	---M--	200	added ('OK')	image/png	etag:%22736-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/hiper.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/hiper.png	(from https://newdetox.com.br/)
12:50:27	1838/1838	---M--	200	added ('OK')	image/png	etag:%2272e-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/elo.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/elo.png	(from https://newdetox.com.br/)
12:50:28	1525/1525	---M--	200	added ('OK')	image/png	etag:%225f5-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/aura.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/aura.png	(from https://newdetox.com.br/)
12:50:28	2245/2245	---M--	200	added ('OK')	image/png	etag:%228c5-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/american.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/american.png	(from https://newdetox.com.br/)
12:50:28	1648/1648	---M--	200	added ('OK')	image/png	etag:%22670-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/pag-boleto.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/pag-boleto.png	(from https://newdetox.com.br/)
12:50:28	2142/2142	---M--	200	added ('OK')	image/png	etag:%2285e-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/pix-icone-1.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/pix-icone-1.png	(from https://newdetox.com.br/)
12:50:29	8364/8364	---M--	200	added ('OK')	image/png	etag:%2220ac-5d207b253e580%22	https://newdetox.com.br/wp-content/uploads/2021/11/icons-siteseguro-1-1.png	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/uploads/2021/11/icons-siteseguro-1-1.png	(from https://newdetox.com.br/)
12:50:29	15974/15974	---M-Z	200	added ('OK')	application/javascript	etag:%223e66-5d206715b5140-gzip%22	https://newdetox.com.br/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=3.7.5	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-content/themes/astra/assets/js/minified/frontend.min3430.js	(from https://newdetox.com.br/)
12:50:29	5629/5629	---M-Z	200	added ('OK')	application/javascript	etag:%2215fd-5a7fbb57c37c0-gzip%22	https://newdetox.com.br/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/Meus%20Sites/NewDetox/newdetox.com.br/wp-includes/js/imagesloaded.mineda1.js	(from https://newdetox.com.br/)
